FILM,Rating_Site,Rating
Avengers: Age of Ultron (2015),Rotten_Tomatoes,4.3
Cinderella (2015),Rotten_Tomatoes,4
Ant-Man (2015),Rotten_Tomatoes,4.5
Do You Believe? (2015),Rotten_Tomatoes,4.2
Hot Tub Time Machine 2 (2015),Rotten_Tomatoes,1.4
The Water Diviner (2015),Rotten_Tomatoes,3.1
Irrational Man (2015),Rotten_Tomatoes,2.65
Top Five (2014),Rotten_Tomatoes,3.2
Shaun the Sheep Movie (2015),Rotten_Tomatoes,4.1
Love & Mercy (2015),Rotten_Tomatoes,4.35
Far From The Madding Crowd (2015),Rotten_Tomatoes,3.85
Black Sea (2015),Rotten_Tomatoes,3
Leviathan (2014),Rotten_Tomatoes,3.95
Unbroken (2014),Rotten_Tomatoes,3.5
The Imitation Game (2014),Rotten_Tomatoes,4.6
Taken 3 (2015),Rotten_Tomatoes,2.3
Ted 2 (2015),Rotten_Tomatoes,2.9
Southpaw (2015),Rotten_Tomatoes,4
Night at the Museum: Secret of the Tomb (2014),Rotten_Tomatoes,2.9
Pixels (2015),Rotten_Tomatoes,2.7
"McFarland, USA (2015)",Rotten_Tomatoes,4.45
Insidious: Chapter 3 (2015),Rotten_Tomatoes,2.8
The Man From U.N.C.L.E. (2015),Rotten_Tomatoes,4
Run All Night (2015),Rotten_Tomatoes,2.95
Trainwreck (2015),Rotten_Tomatoes,3.7
Selma (2014),Rotten_Tomatoes,4.3
Ex Machina (2015),Rotten_Tomatoes,4.3
Still Alice (2015),Rotten_Tomatoes,4.25
Wild Tales (2014),Rotten_Tomatoes,4.6
The End of the Tour (2015),Rotten_Tomatoes,4.45
Red Army (2015),Rotten_Tomatoes,4.3
When Marnie Was There (2015),Rotten_Tomatoes,4.45
The Hunting Ground (2015),Rotten_Tomatoes,3.6
The Boy Next Door (2015),Rotten_Tomatoes,1.75
Aloha (2015),Rotten_Tomatoes,1.55
The Loft (2015),Rotten_Tomatoes,2
5 Flights Up (2015),Rotten_Tomatoes,2.35
Welcome to Me (2015),Rotten_Tomatoes,2.35
Saint Laurent (2015),Rotten_Tomatoes,2.25
Maps to the Stars (2015),Rotten_Tomatoes,2.3
I'll See You In My Dreams (2015),Rotten_Tomatoes,3.5
Timbuktu (2015),Rotten_Tomatoes,3.9
About Elly (2015),Rotten_Tomatoes,4.3
The Diary of a Teenage Girl (2015),Rotten_Tomatoes,4.05
Kingsman: The Secret Service (2015),Rotten_Tomatoes,4.2
Tomorrowland (2015),Rotten_Tomatoes,2.65
The Divergent Series: Insurgent (2015),Rotten_Tomatoes,3.05
Annie (2014),Rotten_Tomatoes,3.05
Fantastic Four (2015),Rotten_Tomatoes,1
Terminator Genisys (2015),Rotten_Tomatoes,3
Pitch Perfect 2 (2015),Rotten_Tomatoes,3.4
Entourage (2015),Rotten_Tomatoes,3.4
The Age of Adaline (2015),Rotten_Tomatoes,3.4
Hot Pursuit (2015),Rotten_Tomatoes,1.85
The DUFF (2015),Rotten_Tomatoes,3.4
Black or White (2015),Rotten_Tomatoes,3.4
Project Almanac (2015),Rotten_Tomatoes,2.3
Ricki and the Flash (2015),Rotten_Tomatoes,2.65
Seventh Son (2015),Rotten_Tomatoes,1.75
Mortdecai (2015),Rotten_Tomatoes,1.5
Unfinished Business (2015),Rotten_Tomatoes,1.35
American Ultra (2015),Rotten_Tomatoes,2.6
True Story (2015),Rotten_Tomatoes,2.05
Child 44 (2015),Rotten_Tomatoes,2.2
Dark Places (2015),Rotten_Tomatoes,1.65
Birdman (2014),Rotten_Tomatoes,3.9
The Gift (2015),Rotten_Tomatoes,3.95
Unfriended (2015),Rotten_Tomatoes,1.95
Monkey Kingdom (2015),Rotten_Tomatoes,3.85
Mr. Turner (2014),Rotten_Tomatoes,2.8
Seymour: An Introduction (2015),Rotten_Tomatoes,4.35
The Wrecking Crew (2015),Rotten_Tomatoes,4.2
American Sniper (2015),Rotten_Tomatoes,4.25
Furious 7 (2015),Rotten_Tomatoes,4.2
The Hobbit: The Battle of the Five Armies (2014),Rotten_Tomatoes,3.75
San Andreas (2015),Rotten_Tomatoes,2.9
Straight Outta Compton (2015),Rotten_Tomatoes,4.7
Vacation (2015),Rotten_Tomatoes,2.75
Chappie (2015),Rotten_Tomatoes,2.85
Poltergeist (2015),Rotten_Tomatoes,1.2
Paper Towns (2015),Rotten_Tomatoes,2.85
Big Eyes (2014),Rotten_Tomatoes,3.45
Blackhat (2015),Rotten_Tomatoes,1.25
Self/less (2015),Rotten_Tomatoes,2.55
Sinister 2 (2015),Rotten_Tomatoes,1.7
Little Boy (2015),Rotten_Tomatoes,4.05
Me and Earl and The Dying Girl (2015),Rotten_Tomatoes,4.45
Maggie (2015),Rotten_Tomatoes,1.6
Mad Max: Fury Road (2015),Rotten_Tomatoes,4.4
Spy (2015),Rotten_Tomatoes,4.1
The SpongeBob Movie: Sponge Out of Water (2015),Rotten_Tomatoes,2.75
Paddington (2015),Rotten_Tomatoes,4.05
Dope (2015),Rotten_Tomatoes,4.3
What We Do in the Shadows (2015),Rotten_Tomatoes,4.3
The Overnight (2015),Rotten_Tomatoes,3.25
The Salt of the Earth (2015),Rotten_Tomatoes,4.5
Song of the Sea (2014),Rotten_Tomatoes,4.6
Fifty Shades of Grey (2015),Rotten_Tomatoes,2.1
Get Hard (2015),Rotten_Tomatoes,2.4
Focus (2015),Rotten_Tomatoes,2.7
Jupiter Ascending (2015),Rotten_Tomatoes,2
The Gallows (2015),Rotten_Tomatoes,1.35
The Second Best Exotic Marigold Hotel (2015),Rotten_Tomatoes,3.15
Strange Magic (2015),Rotten_Tomatoes,2.5
The Gunman (2015),Rotten_Tomatoes,1.7
Hitman: Agent 47 (2015),Rotten_Tomatoes,2.45
Cake (2015),Rotten_Tomatoes,2.35
The Vatican Tapes (2015),Rotten_Tomatoes,1.05
A Little Chaos (2015),Rotten_Tomatoes,2.35
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),Rotten_Tomatoes,3.45
Escobar: Paradise Lost (2015),Rotten_Tomatoes,2.6
Into the Woods (2014),Rotten_Tomatoes,2.5
It Follows (2015),Rotten_Tomatoes,3.25
Inherent Vice (2014),Rotten_Tomatoes,2.6
A Most Violent Year (2014),Rotten_Tomatoes,3.45
While We're Young (2015),Rotten_Tomatoes,2.6
Clouds of Sils Maria (2015),Rotten_Tomatoes,3.35
Testament of Youth (2015),Rotten_Tomatoes,3.95
Infinitely Polar Bear (2015),Rotten_Tomatoes,3.8
Phoenix (2015),Rotten_Tomatoes,4.05
The Wolfpack (2015),Rotten_Tomatoes,3.65
The Stanford Prison Experiment (2015),Rotten_Tomatoes,4.35
Tangerine (2015),Rotten_Tomatoes,4.3
Magic Mike XXL (2015),Rotten_Tomatoes,3.2
Home (2015),Rotten_Tomatoes,3.25
The Wedding Ringer (2015),Rotten_Tomatoes,3.3
Woman in Gold (2015),Rotten_Tomatoes,4.05
The Last Five Years (2015),Rotten_Tomatoes,3
Mission: Impossible â€“ Rogue Nation (2015),Rotten_Tomatoes,4.5
Amy (2015),Rotten_Tomatoes,4.55
Jurassic World (2015),Rotten_Tomatoes,4.05
Minions (2015),Rotten_Tomatoes,2.6
Max (2015),Rotten_Tomatoes,3.65
Paul Blart: Mall Cop 2 (2015),Rotten_Tomatoes,1.8
The Longest Ride (2015),Rotten_Tomatoes,3.65
The Lazarus Effect (2015),Rotten_Tomatoes,1.15
The Woman In Black 2 Angel of Death (2015),Rotten_Tomatoes,1.25
Danny Collins (2015),Rotten_Tomatoes,3.75
Spare Parts (2015),Rotten_Tomatoes,4.15
Serena (2015),Rotten_Tomatoes,1.25
Inside Out (2015),Rotten_Tomatoes,4.5
Mr. Holmes (2015),Rotten_Tomatoes,3.9
'71 (2015),Rotten_Tomatoes,4.1
"Two Days, One Night (2014)",Rotten_Tomatoes,3.9
Gett: The Trial of Viviane Amsalem (2015),Rotten_Tomatoes,4.05
"Kumiko, The Treasure Hunter (2015)",Rotten_Tomatoes,3.15
Avengers: Age of Ultron (2015),Metacritic,3.55
Cinderella (2015),Metacritic,3.75
Ant-Man (2015),Metacritic,4.05
Do You Believe? (2015),Metacritic,2.35
Hot Tub Time Machine 2 (2015),Metacritic,1.7
The Water Diviner (2015),Metacritic,3.4
Irrational Man (2015),Metacritic,3.8
Top Five (2014),Metacritic,3.4
Shaun the Sheep Movie (2015),Metacritic,4.4
Love & Mercy (2015),Metacritic,4.25
Far From The Madding Crowd (2015),Metacritic,3.75
Black Sea (2015),Metacritic,3.3
Leviathan (2014),Metacritic,3.6
Unbroken (2014),Metacritic,3.25
The Imitation Game (2014),Metacritic,4.1
Taken 3 (2015),Metacritic,2.3
Ted 2 (2015),Metacritic,3.25
Southpaw (2015),Metacritic,4.1
Night at the Museum: Secret of the Tomb (2014),Metacritic,2.9
Pixels (2015),Metacritic,2.65
"McFarland, USA (2015)",Metacritic,3.6
Insidious: Chapter 3 (2015),Metacritic,3.45
The Man From U.N.C.L.E. (2015),Metacritic,3.95
Run All Night (2015),Metacritic,3.65
Trainwreck (2015),Metacritic,3
Selma (2014),Metacritic,3.55
Ex Machina (2015),Metacritic,3.95
Still Alice (2015),Metacritic,3.9
Wild Tales (2014),Metacritic,4.4
The End of the Tour (2015),Metacritic,3.75
